a good chance of being the big 	positive
not funny performers 	negative
and revolutionary spirit 	positive
a rollicking good time for the most part 	positive
so vivid 	positive
' rip-off 	negative
transcendent performance 	positive
reopens an interesting controversy and 	positive
lose their luster 	negative
of deft and subtle poetry 	positive
so many red herrings , 	negative
such a flat , plodding picture 	negative
is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham 	positive
a buoyant delivery 	positive
the closest thing to the experience of space travel 	positive
enigma is well-made 	positive
competent , unpretentious entertainment 	positive
all the sibling rivalry and 	negative
is less concerned with cultural and political issues than doting on its eccentric characters . 	negative
treads heavily into romeo and juliet/west side story territory , where it plainly has no business going 	negative
hip-hop rarely comes alive as its own fire-breathing entity in this picture . 	negative
an effective portrait of a life in stasis 	positive
like jimmy 's routines 	positive
is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits . 	negative
expects something special but instead gets ( sci-fi ) rehash . 	negative
who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny 	negative
entering 	positive
all too predictable and far too cliched 	negative
there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one . 	positive
its hackneyed and meanspirited storyline with cardboard characters and performers 	negative
brainless 	negative
with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie 	negative
