A man with a baby singed on his back is using a broom.	The baby is awake.	1
Barefoot grain workers sift grain on colored tarp.	People aren't wearing shoes	0
A young girl eating an onion ring at a fast food restaurant.	A girl is eating.	0
Many people are gathered to watch two men who are an instrument and holding a sign.	No one sees the two men.	2
Two dogs run through a snow-patched desert.	There are dogs outside.	0
A Girl with long brown hair standing outside.	A girl has long brown hair.	0
A man wearing a red jacket and knee high boots is fly fishing.	The man is indoors writing an essay on his laptop	2
Two Asians, a man and a woman, smile and shake hands for the camera.	A man and woman are shaking hands on camera.	0
Two climbers attempting to climb a steep, snow-covered peak, nearing the top, where two other climbers await them.	Four men are on a very cold mountain	0
Five men wearing black shorts are leaving the starting blocks in a track competition with few spectators.	Five men are dancing.	2
Horses with jockeys participate in a race.	Horses are racing	0
A man wearing a white t-shirt, blue jeans and tennis shoes, is standing on to steel beams, holding long metal wires, his eyes are closed in the background there is either a lake or an ocean.	A man stands on steel beams holding onto wire.	0
A man wearing a colorful suit sits on a sidewalk playing a basset horn to collect money.	A man tries to make money playing an instrument in New York City.	1
Two women playing volleyball at the beach.	The women are having dinner together.	2
A man supervising workers in a workshop.	A man supervises workers.	0
A man on a bike is seen among a crowd of people at an outdoor event.	They are at a music concert.	1
Three construction workers are standing on a boat while one of the men points at something.	A group of friends are playing poker on a Friday night.	2
A man is sitting on a bench on top of grass.	A man is outside.	0
A man in a baseball uniform about to pitch.	The man is pitching a fastball.	1
City sidewalk with posters on a wall, several people walking by with city buildings in the background.	Several people are walking outdoors.	0
A young boy with a blue body board.	The board is orange	2
A teenage girl walks past another with a cellphone.	Nobody is walking.	2
Three men, two dressed in white and another in black vestments with a gold cross, address a crowd.	The men are swimming in the lake.	2
The cute little baby is playing chess.	The family poses the baby playing chess.	1
An adult and a child walking around outdoors in Autumn.	An adult and a child are walking by the beach.	1
A man asleep on a plane in a dark photo.	the man jumps on his bed	2
A woman with glasses about to take a bite out of a huge cookie.	A woman is about to eat cake	2
A baby girl with a mouthful of cereal.	A baby girl with a mouthful of pasta.	2
White dog running on the grass	A dog is running after a stick.	1
Two young women examine the wares at a well-stocked outdoor bakery booth under a yellow umbrella.	Two women leave a grocery store with cake mix.	2
He is calling his wife to tell he will be coming late.	Group of women laughing while climbing stairs	2
Two men are serving beer from a tap.	Two men are serving booze.	0
A group of boys in a desert playing with a ball.	A group of boys playing baseball in a desert.	1
A security officer uses her radio.	Security calls it in.	0
A man and a woman stopped on the sidewalk looking at something with their eyes big and wide.	A couple is outside.	0
Mimes are playing tug-of-war.	Mimes are not playing tug-of-war.	2
An underwater photographer swims under the beautiful sea, yet above the white sand in the clear water with a large camera as she takes photo's from underneath the water.	I woman is swimming in the water.	0
A man in a brown shirt and jeans leans against a pole in front of Chanel while a man in a cinema security shirt faces the other way near him.	A burglar casing a joint.	1
A laughing girl holding a bucket splashes in the ocean	A girl is swimming in the ocean.	2
A man in a white t-shirt leans on a car while gesticulating to a confused man in an orange t-shirt.	A man is leaning on a car.	0
A black dog in front of a tree jumping towards a red Frisbee.	A dog is jumping towards the tennis ball.	2
A volleyball team is trying to stop the ball from going over the net.	A girl's volleyball team tries to stop the ball lobbed across the net.	1
A partially-furled flag is carried through an atrium filled with people.	A flag is being carried in front of a crowd.	0
This woman is singing on stage at a concert.	A female is singing.	0
The lady watches the man without a shirt.	A woman looks at an attractive male in swimming trunks who is running along the beach with a surfboard.	1
A happy toddler is carrying a notebook.	The toddler is happy.	0
a skateboarder grinds a rail.	A skateboarder is performing.	1
A wood craftsmen working at his bench.	A craftsman is working on a pine bench.	1
